Time 	VolPulse	BloodFlow	ECG	
2.980	-0.950	-3.883	-21.800	
2.985	-0.970	-4.398	-11.800	
2.990	-0.990	-4.339	-36.500	
2.995	-1.000	-4.137	-42.200	
3.000	-1.020	-4.096	-28.200	
3.005	-1.030	-3.638	-32.000	
3.010	-1.040	-3.025	-35.400	
3.015	-1.050	-2.902	-37.900	
3.020	-1.060	-2.803	-37.600	
3.025	-1.070	-2.434	-17.900	
3.030	-1.080	-2.406	-21.300	
3.035	-1.090	-2.534	-37.700	
3.040	-1.090	-2.218	-35.800	
3.045	-1.100	-1.961	-16.900	
3.050	-1.100	-2.030	74.600	
3.055	-1.110	-1.792	254.500	
3.060	-1.110	-1.472	457.900	
3.065	-1.110	-1.686	558.400	
3.070	-1.120	-1.885	538.300	
3.075	-1.120	-1.732	440.200	
3.080	-1.130	-1.877	187.500	
3.085	-1.130	-2.152	-50.700	
3.090	-1.140	-1.982	-97.800	
3.095	-1.140	-1.921	-42.400	
3.100	-1.150	-2.203	-0.200	
3.105	-1.150	-2.132	-44.300	
3.110	-1.160	-1.891	-77.500	
3.115	-1.160	-2.046	-61.800	
3.120	-1.170	-2.062	-52.900	
3.125	-1.170	-1.704	-48.000	
3.130	-1.170	-1.683	-48.900	
3.135	-1.180	-1.784	-45.600	
3.140	-1.180	-1.436	-29.400	
3.145	-1.180	-1.251	-20.600	
3.150	-1.180	-1.501	-13.300	
3.155	-1.180	-1.463	-16.500	
3.160	-1.190	-1.264	-41.200	
3.165	-1.190	-1.456	-35.800	
3.170	-1.190	-1.531	-24.900	
3.175	-1.190	-1.296	-36.900	
3.180	-1.190	-1.443	-50.300	
3.185	-1.190	-1.773	-36.600	
3.190	-1.200	-1.681	-11.300	
3.195	-1.200	-1.668	-9.000	
3.200	-1.200	-1.964	-6.900	
3.205	-1.210	-1.908	-6.200	
3.210	-1.210	-1.700	-10.100	
3.215	-1.220	-1.921	-0.700	
3.220	-1.220	-2.027	9.700	
3.225	-1.220	-1.756	18.700	
3.230	-1.230	-1.828	24.000	
3.235	-1.230	-2.109	21.300	
3.240	-1.240	-2.043	38.800	
3.245	-1.240	-2.155	39.000	
3.250	-1.250	-2.649	26.300	
3.255	-1.250	-2.768	30.700	
3.260	-1.260	-2.595	47.300	
3.265	-1.270	-2.689	59.600	
3.270	-1.280	-2.591	70.200	
3.275	-1.280	-2.100	95.500	
3.280	-1.290	-1.949	102.100	
3.285	-1.290	-1.998	110.500	
3.290	-1.290	-1.571	128.000	
3.295	-1.290	-1.046	134.700	
3.300	-1.290	-0.549	144.300	
3.305	-1.290	0.666	168.000	
3.310	-1.270	2.370	192.200	
3.315	-1.250	3.849	203.500	
3.320	-1.220	5.514	208.200	
3.325	-1.190	7.534	179.800	
3.330	-1.140	9.134	146.800	
3.335	-1.080	10.372	163.900	
3.340	-1.020	11.724	169.000	
3.345	-0.960	12.627	126.400	
3.350	-0.890	12.857	69.000	
3.355	-0.820	13.118	33.900	
3.360	-0.750	13.286	27.300	
3.365	-0.680	12.803	8.600	
3.370	-0.620	12.210	-15.400	
3.375	-0.550	11.794	-49.300	
3.380	-0.500	10.892	-89.900	
3.385	-0.440	9.707	-85.700	
3.390	-0.390	8.822	-68.600	
3.395	-0.350	7.691	-70.400	
3.400	-0.310	6.105	-75.700	
3.405	-0.290	4.828	-85.600	
3.410	-0.260	3.728	-100.200	
3.415	-0.250	2.235	-113.100	
3.420	-0.240	0.896	-101.300	
3.425	-0.240	0.013	-92.600	
3.430	-0.240	-0.999	-103.400	
