Interval=	0.005 s
ExcelDateTime=	4.4476799837398881e+004	10/7/2021 19:11:45.951264
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Vol. Pulse	Blood Flow	ECG
Range=	20.00 mV.s	200.0 mV	500.0 µV
2.555	-0.54	-0.8	-46.1
2.56	-0.55	-2.2	-34.0
2.565	-0.56	-3.5	-47.2
2.57	-0.58	-4.6	-45.2
2.575	-0.60	-5.4	-33.8
2.58	-0.62	-6.1	-41.1
2.585	-0.65	-6.6	-41.5
2.59	-0.68	-6.9	-30.3
2.595	-0.72	-7.3	-34.8
2.6	-0.75	-7.7	-42.3
2.605	-0.79	-7.5	-31.7
2.61	-0.82	-7.1	-26.5
2.615	-0.85	-6.9	-35.8
2.62	-0.88	-6.7	-28.8
2.625	-0.91	-6.6	-13.5
2.63	-0.94	-6.7	-27.2
2.635	-0.97	-6.7	-30.7
2.64	-1.00	-6.4	-16.5
2.645	-1.02	-6.1	-19.4
2.65	-1.05	-6.2	-15.8
2.655	-1.07	-6.5	-6.0
2.66	-1.10	-7.1	-10.2
2.665	-1.14	-7.9	-19.8
2.67	-1.17	-8.4	-14.7
2.675	-1.21	-8.5	-5.9
2.68	-1.25	-8.7	-7.9
2.685	-1.28	-8.7	-3.1
2.69	-1.32	-8.3	3.9
2.695	-1.35	-7.7	-2.8
2.7	-1.39	-6.9	-7.4
2.705	-1.41	-6.0	1.7
2.71	-1.43	-5.4	3.3
2.715	-1.45	-5.2	-1.5
2.72	-1.47	-5.0	11.6
2.725	-1.49	-4.5	17.8
2.73	-1.50	-3.9	1.2
2.735	-1.51	-3.3	-3.3
2.74	-1.52	-2.5	16.9
2.745	-1.53	-1.8	17.0
2.75	-1.53	-1.5	-1.3
2.755	-1.53	-1.1	5.1
2.76	-1.52	-0.8	13.1
2.765	-1.52	-0.6	9.0
2.77	-1.51	-0.4	7.8
2.775	-1.51	-0.3	16.2
2.78	-1.50	-0.6	21.1
2.785	-1.50	-0.5	13.6
2.79	-1.50	-0.0	17.1
2.795	-1.49	0.4	17.0
2.8	-1.48	0.4	8.0
2.805	-1.47	0.3	15.1
2.81	-1.46	-0.0	20.7
2.815	-1.46	-0.5	13.5
2.82	-1.45	-0.8	15.4
2.825	-1.45	-0.9	22.2
2.83	-1.45	-1.1	19.4
2.835	-1.45	-1.1	18.3
2.84	-1.45	-1.1	18.7
2.845	-1.45	-1.3	26.1
2.85	-1.45	-1.8	41.3
2.855	-1.45	-1.9	54.4
2.86	-1.45	-2.0	51.0
2.865	-1.46	-2.5	30.3
2.87	-1.47	-3.1	35.1
2.875	-1.48	-3.6	58.1
2.88	-1.49	-3.9	78.8
2.885	-1.50	-3.9	94.0
2.89	-1.51	-3.7	92.6
2.895	-1.52	-3.8	82.3
2.9	-1.54	-4.2	80.4
2.905	-1.55	-4.4	91.6
2.91	-1.57	-4.4	91.6
2.915	-1.58	-4.4	84.6
2.92	-1.60	-4.3	90.3
2.925	-1.61	-4.1	89.3
2.93	-1.62	-4.1	74.1
2.935	-1.64	-4.1	66.5
2.94	-1.65	-3.9	68.2
2.945	-1.66	-3.9	50.2
2.95	-1.67	-3.9	30.9
2.955	-1.69	-3.9	44.6
2.96	-1.70	-3.8	52.9
2.965	-1.71	-3.8	42.8
2.97	-1.72	-3.6	45.5
2.975	-1.73	-3.5	46.6
2.98	-1.74	-3.7	39.8
2.985	-1.75	-3.8	40.7
2.99	-1.76	-3.7	40.5
2.995	-1.77	-3.8	36.1
3	-1.78	-4.1	36.4
3.005	-1.79	-4.0	48.4
3.01	-1.80	-3.8	49.7
3.015	-1.81	-3.6	28.5
3.02	-1.82	-3.3	15.4
3.025	-1.83	-3.1	20.6
3.03	-1.84	-3.2	38.3
3.035	-1.85	-3.3	69.3
3.04	-1.85	-3.3	157.6
3.045	-1.86	-3.2	284.5
3.05	-1.87	-3.1	303.2
3.055	-1.87	-2.7	146.0
3.06	-1.88	-2.3	41.9
3.065	-1.88	-2.1	77.2
3.07	-1.88	-2.0	-61.9
3.075	-1.88	-2.1	-309.7
3.08	-1.89	-2.6	-316.7
3.085	-1.89	-2.9	-156.3
3.09	-1.90	-2.9	-55.5
3.095	-1.90	-2.7	-30.5
3.1	-1.91	-2.3	-10.5
3.105	-1.91	-1.9	31.7
3.11	-1.91	-1.7	55.0
3.115	-1.91	-2.0	52.3
3.12	-1.91	-2.2	68.2
3.125	-1.92	-2.2	78.8
3.13	-1.92	-2.3	71.3
3.135	-1.92	-2.1	72.6
3.14	-1.92	-1.8	86.3
3.145	-1.92	-1.7	88.8
3.15	-1.92	-1.7	77.2
3.155	-1.92	-1.7	91.6
3.16	-1.92	-1.8	103.5
3.165	-1.92	-2.3	90.9
3.17	-1.92	-2.7	98.3
3.175	-1.93	-2.8	110.3
3.18	-1.93	-2.9	104.6
3.185	-1.94	-2.8	102.5
3.19	-1.94	-2.5	108.8
3.195	-1.95	-2.5	109.0
3.2	-1.95	-2.8	112.5
3.205	-1.96	-2.7	123.2
3.21	-1.96	-2.6	120.8
3.215	-1.97	-2.7	118.8
3.22	-1.97	-2.7	135.3
3.225	-1.97	-2.5	148.3
3.23	-1.98	-2.4	141.2
3.235	-1.98	-2.3	139.3
3.24	-1.98	-2.2	149.9
3.245	-1.98	-2.3	150.2
3.25	-1.99	-2.5	147.9
3.255	-1.99	-2.3	161.5
3.26	-1.99	-1.6	173.9
3.265	-1.99	-0.5	163.6
3.27	-1.98	1.3	164.6
3.275	-1.96	3.7	179.9
3.28	-1.92	6.2	180.1
3.285	-1.87	9.0	180.8
3.29	-1.81	12.1	185.0
3.295	-1.74	15.0	178.8
3.3	-1.65	17.4	168.6
3.305	-1.55	19.8	162.9
3.31	-1.44	21.7	155.4
3.315	-1.32	22.8	138.7
3.32	-1.20	23.3	129.1
3.325	-1.08	23.0	126.4
3.33	-0.96	21.6	110.7
3.335	-0.85	19.7	103.7
3.34	-0.76	17.6	113.1
3.345	-0.67	15.1	107.4
3.35	-0.60	12.5	88.8
3.355	-0.54	10.2	87.1
3.36	-0.49	8.3	94.2
3.365	-0.45	6.4	93.2
3.37	-0.42	4.8	92.5
3.375	-0.40	3.2	99.1
